term_id,term_str,n,num,stop,p_stem
125,2151,1,1,0,2151
126,21st,1,1,0,21st
127,22nd,3,1,0,22nd
128,23rd,2,1,0,23rd
129,246,1,1,0,246
130,24th,3,1,0,24th
131,25000,3,1,0,25000
132,25th,1,1,0,25th
133,26th,3,1,0,26th
134,275th,4,1,0,275th
135,27th,2,1,0,27th
136,2800,2,1,0,2800
137,28th,4,1,0,28th
138,297,1,1,0,297
139,29th,1,1,0,29th
140,2d,4,1,0,2d
141,2nd,2,1,0,2nd
142,3,14,1,0,3
143,30,2,1,0,30
144,300,1,1,0,300
145,300000,1,1,0,300000
146,31,2,1,0,31
147,31st,1,1,0,31st
148,32,1,1,0,32
149,33,1,1,0,33
150,35,1,1,0,35
151,351,1,1,0,351
152,377,1,1,0,377
153,38,1,1,0,38
154,3d,4,1,0,3d
155,3rd,4,1,0,3rd
156,4,9,1,0,4
157,40,3,1,0,40
158,400,1,1,0,400
159,4000,1,1,0,4000
160,400000,1,1,0,400000
161,4000000,1,1,0,4000000
162,41,2,1,0,41
163,45,1,1,0,45
164,451,1,1,0,451
165,478,1,1,0,478
166,4th,8,1,0,4th
167,5,8,1,0,5
168,500,2,1,0,500
169,5000,2,1,0,5000
170,50000,1,1,0,50000
171,500000,2,1,0,500000
172,50000000,1,1,0,50000000
173,50l,1,1,0,50l
174,5400,1,1,0,5400
175,55,1,1,0,55
176,550,2,1,0,550
177,550000,1,1,0,550000
178,56,1,1,0,56
179,57,2,1,0,57
180,5th,6,1,0,5th
181,6,6,1,0,6
182,60000,1,1,0,60000
183,68,1,1,0,68
184,6th,4,1,0,6th
185,7,1,1,0,7
186,7000000,1,1,0,7000000
187,7000l,1,1,0,7000l
188,72000,1,1,0,72000
189,750,1,1,0,750
190,7th,6,1,0,7th
191,8,1,1,0,8
192,800,1,1,0,800
193,890,1,1,0,890
194,8th,4,1,0,8th
195,9,3,1,0,9
196,97,1,1,0,97
197,99,2,1,0,99
198,9th,2,1,0,9th
199,a,44566,0,1,a
200,aa,2,0,0,aa
201,aaron,2,0,0,aaron
202,ab,1,0,0,ab
203,aback,9,0,0,aback
204,abaft,2,0,0,abaft
205,abana,1,0,0,abana
206,abandon,21,0,0,abandon
207,abandoned,73,0,0,abandon
208,abandonedly,2,0,0,abandonedli
209,abandoning,4,0,0,abandon
210,abandonment,16,0,0,abandon
211,abase,4,0,0,abas
212,abased,9,0,0,abas
213,abasement,3,0,0,abas
214,abashed,15,0,0,abash
215,abashments,1,0,0,abash
216,abasing,3,0,0,abas
217,abate,13,0,0,abat
218,abated,28,0,0,abat
219,abatement,9,0,0,abat
220,abates,1,0,0,abat
221,abating,8,0,0,abat
222,abba,1,0,0,abba
223,abbess,1,0,0,abbess
224,abbey,82,0,0,abbey
225,abbeyland,1,0,0,abbeyland
226,abbeys,5,0,0,abbey
227,abbots,2,0,0,abbot
228,abbott,1,0,0,abbott
229,abbrazza,2,0,0,abbrazza
230,abbreviate,1,0,0,abbrevi
231,abbreviated,3,0,0,abbrevi
232,abbreviation,4,0,0,abbrevi
233,abbreviative,1,0,0,abbrevi
234,abdera,2,0,0,abdera
235,abdicate,5,0,0,abdic
236,abdicated,1,0,0,abdic
237,abdication,4,0,0,abdic
238,abdomen,10,0,0,abdomen
239,abdominal,3,0,0,abdomin
240,abdys,1,0,0,abdi
241,abeam,2,0,0,abeam
242,abed,4,0,0,abe
243,abednego,1,0,0,abednego
244,abel,2,0,0,abel
245,abelard,1,0,0,abelard
246,aberdeen,4,0,0,aberdeen
247,aberration,2,0,0,aberr
248,abetted,1,0,0,abet
249,abeyance,2,0,0,abey
250,abhor,11,0,0,abhor
251,abhorred,15,0,0,abhor
252,abhorrence,32,0,0,abhorr
253,abhorrent,11,0,0,abhorr
254,abhorrently,3,0,0,abhorr
255,abhorring,1,0,0,abhor
256,abhorringly,1,0,0,abhorringli
257,abhors,1,0,0,abhor
258,abide,30,0,0,abid
259,abided,1,0,0,abid
260,abides,1,0,0,abid
261,abideth,1,0,0,abideth
262,abiding,8,0,0,abid
263,abilities,41,0,0,abil
264,ability,13,0,0,abil
265,abington,3,0,0,abington
266,abject,6,0,0,abject
267,abjectly,2,0,0,abjectli
268,abjectness,1,0,0,abject
269,abjectus,1,0,0,abjectu
270,abjuring,1,0,0,abjur
271,able,413,0,0,abl
272,ablest,1,0,0,ablest
273,ablution,2,0,0,ablut
274,ablutions,6,0,0,ablut
275,abo,4,0,0,abo
276,aboard,126,0,0,aboard
277,abode,63,0,0,abod
278,abodes,5,0,0,abod
279,abolish,6,0,0,abolish
280,abolished,8,0,0,abolish
281,abolishing,2,0,0,abolish
282,abolition,8,0,0,abolit
283,abolitionism,1,0,0,abolition
284,abolitionist,3,0,0,abolitionist
285,abominable,36,0,0,abomin
286,abominably,8,0,0,abomin
287,abominate,7,0,0,abomin
288,abominated,3,0,0,abomin
289,abominates,1,0,0,abomin
290,abomination,4,0,0,abomin
291,abominations,2,0,0,abomin
292,aborbed,1,0,0,aborb
293,abord,1,0,0,abord
294,aboriginal,13,0,0,aborigin
295,aboriginally,1,0,0,aborigin
296,aboriginalness,1,0,0,aborigin
297,abortion,1,0,0,abort
298,abortions,1,0,0,abort
299,abortive,2,0,0,abort
300,abound,14,0,0,abound
301,abounded,11,0,0,abound
302,abounding,35,0,0,abound
303,aboundingly,1,0,0,aboundingli
304,abounds,6,0,0,abound
305,about,2918,0,1,about
306,abouts,1,0,0,about
307,above,483,0,1,abov
308,abraham,8,0,0,abraham
309,abrahamic,1,0,0,abraham
310,abrahams,1,0,0,abraham
311,abrazza,73,0,0,abrazza
312,abrazzas,3,0,0,abrazza
313,abreast,16,0,0,abreast
314,abridge,3,0,0,abridg
315,abridged,4,0,0,abridg
316,abridgement,1,0,0,abridg
317,abridger,1,0,0,abridg
318,abridges,1,0,0,abridg
319,abridging,1,0,0,abridg
320,abridgment,1,0,0,abridg
321,abroad,121,0,0,abroad
322,abrogations,1,0,0,abrog
323,abrupt,23,0,0,abrupt
324,abruptest,1,0,0,abruptest
325,abruptly,39,0,0,abruptli
326,abruptness,5,0,0,abrupt
327,abscond,3,0,0,abscond
328,absconded,3,0,0,abscond
329,absconding,1,0,0,abscond
330,absence,180,0,0,absenc
331,absences,1,0,0,absenc
332,absent,98,0,0,absent
333,absented,6,0,0,absent
334,absentee,1,0,0,absente
335,absenting,6,0,0,absent
336,absolute,68,0,0,absolut
337,absolutely,148,0,0,absolut
338,absolution,3,0,0,absolut
339,absolutism,2,0,0,absolut
340,absolve,2,0,0,absolv
341,absolved,2,0,0,absolv
342,absolves,1,0,0,absolv
343,absorb,8,0,0,absorb
344,absorbed,22,0,0,absorb
345,absorbedly,1,0,0,absorbedli
346,absorber,1,0,0,absorb
347,absorbing,8,0,0,absorb
348,absorbingly,1,0,0,absorbingli
349,absorbs,2,0,0,absorb
350,absorption,4,0,0,absorpt
351,abstain,10,0,0,abstain
352,abstained,7,0,0,abstain
353,abstaining,3,0,0,abstain
354,abstains,1,0,0,abstain
355,abstemious,2,0,0,abstemi
356,abstinence,6,0,0,abstin
357,abstract,13,0,0,abstract
358,abstracted,7,0,0,abstract
359,abstractedly,3,0,0,abstractedli
360,abstractest,1,0,0,abstractest
361,abstracting,1,0,0,abstract
362,abstraction,8,0,0,abstract
363,abstruse,3,0,0,abstrus
364,abstrusities,2,0,0,abstrus
365,absurd,50,0,0,absurd
366,absurdest,1,0,0,absurdest
367,absurdities,5,0,0,absurd
368,absurdity,16,0,0,absurd
369,absurdly,2,0,0,absurdli
370,absurdum,2,0,0,absurdum
371,abundance,48,0,0,abund
372,abundant,20,0,0,abund
373,abundantly,14,0,0,abundantli
374,abuse,21,0,0,abus
375,abused,22,0,0,abus
376,abuses,13,0,0,abus
377,abusing,5,0,0,abus
378,abusive,4,0,0,abus
379,abuttings,1,0,0,abut
380,abydos,1,0,0,abydo
381,abysinnians,1,0,0,abysinnian
382,abyss,6,0,0,abyss
383,abysses,2,0,0,abyss
384,abyssinian,1,0,0,abyssinian
385,acacia,1,0,0,acacia
386,academe,1,0,0,academ
387,academics,2,0,0,academ
388,academies,1,0,0,academi
389,academy,6,0,0,academi
390,acanthus,1,0,0,acanthu
391,acapulco,3,0,0,acapulco
392,accede,4,0,0,acced
393,acceded,7,0,0,acced
394,acceding,1,0,0,acced
395,accelerate,8,0,0,acceler
396,accelerated,5,0,0,acceler
397,accelerating,5,0,0,acceler
398,accelerator,1,0,0,acceler
399,accent,20,0,0,accent
400,accents,20,0,0,accent
401,accept,86,0,0,accept
402,acceptable,35,0,0,accept
403,acceptably,1,0,0,accept
404,acceptance,23,0,0,accept
405,acceptation,1,0,0,accept
406,accepted,71,0,0,accept
407,accepting,41,0,0,accept
408,acceptor,1,0,0,acceptor
409,accepts,1,0,0,accept
410,access,12,0,0,access
411,accessary,1,0,0,accessari
412,accessible,13,0,0,access
413,accession,10,0,0,access
414,accessions,5,0,0,access
415,accessories,2,0,0,accessori
416,accessory,6,0,0,accessori
417,accident,58,0,0,accid
418,accidental,20,0,0,accident
419,accidentally,45,0,0,accident
420,accidents,16,0,0,accid
421,acclamacao,1,0,0,acclamacao
422,acclamation,2,0,0,acclam
423,acclamations,1,0,0,acclam
424,acclimate,1,0,0,acclim
425,acclivities,4,0,0,accliv
426,acclivity,6,0,0,accliv
427,accommodate,22,0,0,accommod
428,accommodated,5,0,0,accommod
429,accommodates,4,0,0,accommod
430,accommodating,10,0,0,accommod
431,accommodation,31,0,0,accommod
432,accommodations,22,0,0,accommod
433,accomodate,1,0,0,accomod
434,accompanied,87,0,0,accompani
435,accompanies,4,0,0,accompani
436,accompaniment,4,0,0,accompani
437,accompaniments,8,0,0,accompani
438,accompany,52,0,0,accompani
439,accompanying,28,0,0,accompani
440,accomplice,1,0,0,accomplic
441,accomplices,1,0,0,accomplic
442,accomplish,24,0,0,accomplish
443,accomplished,81,0,0,accomplish
444,accomplishing,8,0,0,accomplish
445,accomplishment,15,0,0,accomplish
446,accomplishments,27,0,0,accomplish
447,accord,7,0,0,accord
448,accordance,13,0,0,accord
449,accordant,4,0,0,accord
450,accorded,7,0,0,accord
451,according,205,0,0,accord
452,accordingly,135,0,0,accordingli
453,accordion,1,0,0,accordion
454,accords,1,0,0,accord
455,accost,9,0,0,accost
456,accosted,58,0,0,accost
457,accosting,12,0,0,accost
458,accosts,1,0,0,accost
459,accouchement,1,0,0,accouch
460,account,536,0,0,account
461,accountability,4,0,0,account
462,accountable,10,0,0,account
463,accountant,1,0,0,account
464,accountants,4,0,0,account
465,accounted,66,0,0,account
466,accounting,14,0,0,account
467,accounts,97,0,0,account
468,accrue,4,0,0,accru
469,accrued,2,0,0,accru
470,accumulate,4,0,0,accumul
471,accumulated,18,0,0,accumul
472,accumulates,1,0,0,accumul
473,accumulating,3,0,0,accumul
474,accumulation,5,0,0,accumul
475,accumulations,3,0,0,accumul
476,accumulative,1,0,0,accumul
477,accumulatively,1,0,0,accumul
478,accuracy,5,0,0,accuraci
479,accurate,8,0,0,accur
480,accurately,15,0,0,accur
481,accursed,25,0,0,accurs
482,accursing,1,0,0,accurs
483,accusation,6,0,0,accus
484,accusations,5,0,0,accus
485,accuse,16,0,0,accus
486,accused,22,0,0,accus
487,accusing,3,0,0,accus
488,accustom,1,0,0,accustom
489,accustomary,7,0,0,accustomari
490,accustomed,55,0,0,accustom
491,accustoms,1,0,0,accustom
492,ace,2,0,0,ace
493,acephali,1,0,0,acephali
494,acerbities,1,0,0,acerb
495,acetabulum,1,0,0,acetabulum
496,achates,2,0,0,achat
497,ache,10,0,0,ach
498,ached,5,0,0,ach
499,aches,9,0,0,ach
500,achieve,9,0,0,achiev
501,achieved,18,0,0,achiev
502,achievement,5,0,0,achiev
503,achievements,2,0,0,achiev
504,achieving,3,0,0,achiev
505,achille,1,0,0,achil
506,achilles,1,0,0,achil
507,achilless,1,0,0,achilless
508,aching,5,0,0,ach
509,acid,2,0,0,acid
510,acids,2,0,0,acid
511,acknowledge,69,0,0,acknowledg
512,acknowledged,95,0,0,acknowledg
513,acknowledgement,2,0,0,acknowledg
514,acknowledgements,1,0,0,acknowledg
515,acknowledges,3,0,0,acknowledg
516,acknowledging,25,0,0,acknowledg
517,acknowledgment,24,0,0,acknowledg
518,acknowledgments,9,0,0,acknowledg
519,acquaint,7,0,0,acquaint
520,acquaintance,411,0,0,acquaint
521,acquaintances,42,0,0,acquaint
522,acquainted,184,0,0,acquaint
523,acquainting,3,0,0,acquaint
524,acquiesce,11,0,0,acquiesc
525,acquiesced,18,0,0,acquiesc
526,acquiescence,31,0,0,acquiesc
527,acquiescent,1,0,0,acquiesc
528,acquiescing,4,0,0,acquiesc
529,acquire,7,0,0,acquir
530,acquired,24,0,0,acquir
531,acquirements,8,0,0,acquir
532,acquires,1,0,0,acquir
533,acquiring,6,0,0,acquir
534,acquisition,11,0,0,acquisit
535,acquisitions,4,0,0,acquisit
536,acquisitiveness,1,0,0,acquisit
537,acquit,25,0,0,acquit
538,acquits,1,0,0,acquit
539,acquittal,6,0,0,acquitt
540,acquitted,19,0,0,acquit
541,acquitting,3,0,0,acquit
542,acre,14,0,0,acr
543,acres,23,0,0,acr
544,acrid,2,0,0,acrid
545,acridness,1,0,0,acrid
546,acrimony,1,0,0,acrimoni
547,across,265,0,0,across
548,acrostic,2,0,0,acrost
549,acrostics,1,0,0,acrost
550,act,300,0,0,act
551,actaeon,1,0,0,actaeon
552,acted,61,0,0,act
553,actest,1,0,0,actest
554,acting,92,0,0,act
555,action,106,0,0,action
556,actions,66,0,0,action
557,actium,2,0,0,actium
558,active,79,0,0,activ
559,actively,6,0,0,activ
560,activity,44,0,0,activ
561,actor,6,0,0,actor
562,actors,8,0,0,actor
563,actress,1,0,0,actress
564,actresses,2,0,0,actress
565,acts,42,0,0,act
566,actual,47,0,0,actual
567,actually,180,0,0,actual
568,actuated,14,0,0,actuat
569,acushnet,1,0,0,acushnet
570,acute,27,0,0,acut
571,acutely,11,0,0,acut
572,acuteness,8,0,0,acut
573,acutest,4,0,0,acutest
574,ad,16,0,0,ad
575,adage,3,0,0,adag
576,adair,1,0,0,adair
577,adam,21,0,0,adam
578,adami,1,0,0,adami
579,adamite,3,0,0,adamit
580,adamo,1,0,0,adamo
581,adams,5,0,0,adam
582,adancing,1,0,0,adanc
583,adapt,4,0,0,adapt
584,adaptability,1,0,0,adapt
585,adaptations,1,0,0,adapt
586,adapted,58,0,0,adapt
587,adapting,5,0,0,adapt
588,adaptive,1,0,0,adapt
589,add,96,0,0,add
590,adda,1,0,0,adda
591,added,468,0,0,ad
592,adder,5,0,0,adder
593,addered,1,0,0,adder
594,adders,6,0,0,adder
595,addicted,8,0,0,addict
596,adding,43,0,0,ad
597,addios,1,0,0,addio
598,addison,1,0,0,addison
599,addisonian,1,0,0,addisonian
600,addition,84,0,0,addit
601,additional,78,0,0,addit
602,additionally,5,0,0,addit
603,additions,4,0,0,addit
604,addle,1,0,0,addl
605,addled,1,0,0,addl
606,address,128,0,0,address
607,addressed,126,0,0,address
608,addresses,21,0,0,address
609,addressing,83,0,0,address
610,adds,11,0,0,add
611,adduced,1,0,0,adduc
612,adeea,1,0,0,adeea
613,adeiu,18,0,0,adeiu
614,adelaide,2,0,0,adelaid
615,adept,5,0,0,adept
616,adepts,4,0,0,adept
617,adequate,20,0,0,adequ
618,adequately,11,0,0,adequ
619,adhere,4,0,0,adher
620,adhered,7,0,0,adher
621,adherence,1,0,0,adher
622,adherents,1,0,0,adher
623,adheres,2,0,0,adher
624,adhering,12,0,0,adher
625,adhesion,1,0,0,adhes
626,adhesive,3,0,0,adhes
627,adhesiveness,1,0,0,adhes
628,adieu,48,0,0,adieu
629,adieus,13,0,0,adieu
630,adieux,1,0,0,adieux
631,adios,1,0,0,adio
632,adirondack,1,0,0,adirondack
633,adjacent,13,0,0,adjac
634,adjective,4,0,0,adject
635,adjoin,1,0,0,adjoin
636,adjoining,74,0,0,adjoin
637,adjoiningly,1,0,0,adjoiningli
638,adjourn,1,0,0,adjourn
639,adjourned,3,0,0,adjourn
640,adjudge,3,0,0,adjudg
641,adjudged,1,0,0,adjudg
642,adjunct,1,0,0,adjunct
643,adjuncts,3,0,0,adjunct
644,adjurative,1,0,0,adjur
645,adjured,1,0,0,adjur
646,adjust,3,0,0,adjust
647,adjustable,1,0,0,adjust
648,adjusted,16,0,0,adjust
649,adjusting,21,0,0,adjust
650,adjustingly,1,0,0,adjustingli
651,adjustment,3,0,0,adjust
652,adjusts,1,0,0,adjust
653,admeasurement,2,0,0,admeasur
654,admeasurements,2,0,0,admeasur
655,administer,4,0,0,administ
656,administered,13,0,0,administ
657,administering,7,0,0,administ
658,administrate,1,0,0,administr
659,administration,5,0,0,administr
660,administrative,2,0,0,administr
661,admirable,28,0,0,admir
662,admirably,15,0,0,admir
663,admiral,137,0,0,admir
664,admirals,46,0,0,admir
665,admiralty,7,0,0,admiralti
666,admiration,197,0,0,admir
667,admire,90,0,0,admir
668,admired,81,0,0,admir
669,admirer,24,0,0,admir
670,admirers,13,0,0,admir
671,admires,7,0,0,admir
672,admiring,48,0,0,admir
673,admiringly,3,0,0,admiringli
674,admissible,2,0,0,admiss
675,admission,16,0,0,admiss
676,admissions,1,0,0,admiss
677,admit,120,0,0,admit
678,admits,6,0,0,admit
679,admittance,16,0,0,admitt
680,admitted,80,0,0,admit
681,admitting,15,0,0,admit
682,admixtures,1,0,0,admixtur
683,admonish,1,0,0,admonish
684,admonished,18,0,0,admonish
685,admonisher,2,0,0,admonish
686,admonishes,4,0,0,admonish
687,admonishing,2,0,0,admonish
688,admonishingly,1,0,0,admonishingli
689,admonishings,1,0,0,admonish
690,admonishment,1,0,0,admonish
691,admonition,3,0,0,admonit
692,admonitions,7,0,0,admonit
693,admonitory,2,0,0,admonitori
694,ado,28,0,0,ado
695,adolescence,5,0,0,adolesc
696,adolphus,1,0,0,adolphu
697,adommo,1,0,0,adommo
698,adondo,4,0,0,adondo
699,adondos,1,0,0,adondo
700,adonis,1,0,0,adoni
701,adopt,30,0,0,adopt
702,adopted,33,0,0,adopt
703,adopting,6,0,0,adopt
704,adoption,6,0,0,adopt
705,adorable,10,0,0,ador
706,adoration,13,0,0,ador
707,adore,5,0,0,ador
708,adored,9,0,0,ador
709,adorers,1,0,0,ador
710,adores,1,0,0,ador
711,adoring,6,0,0,ador
712,adorn,3,0,0,adorn
713,adorned,19,0,0,adorn
714,adorning,2,0,0,adorn
715,adornings,3,0,0,adorn
716,adornment,4,0,0,adorn
717,adornments,2,0,0,adorn
718,adown,7,0,0,adown
719,adrian,1,0,0,adrian
720,adriatic,2,0,0,adriat
721,adrift,23,0,0,adrift
722,adroit,4,0,0,adroit
723,adroitly,8,0,0,adroitli
724,adroitness,1,0,0,adroit
725,adroop,4,0,0,adroop
726,adullam,1,0,0,adullam
727,adult,11,0,0,adult
728,adulterate,1,0,0,adulter
729,adulterer,1,0,0,adulter
730,adulteress,1,0,0,adulteress
731,adults,4,0,0,adult
732,advance,141,0,0,advanc
733,advanced,156,0,0,advanc
734,advancement,7,0,0,advanc
735,advancer,1,0,0,advanc
736,advances,38,0,0,advanc
737,advancing,100,0,0,advanc
738,advantage,208,0,0,advantag
739,advantageous,16,0,0,advantag
740,advantageously,5,0,0,advantag
741,advantages,48,0,0,advantag
742,advent,9,0,0,advent
743,advents,1,0,0,advent
744,adventure,43,0,0,adventur
745,adventured,1,0,0,adventur
746,adventurer,26,0,0,adventur
747,adventurers,14,0,0,adventur
748,adventures,42,0,0,adventur
749,adventuring,1,0,0,adventur
750,adventurous,19,0,0,adventur
751,adventurously,1,0,0,adventur
752,adventurousness,1,0,0,adventur
753,adverb,1,0,0,adverb
754,adversaries,2,0,0,adversari
755,adversary,1,0,0,adversari
756,adversarys,2,0,0,adversari
757,adverse,8,0,0,advers
758,adversely,1,0,0,advers
759,adversity,15,0,0,advers
760,advert,1,0,0,advert
761,adverted,1,0,0,advert
762,advertise,1,0,0,advertis
763,advertised,6,0,0,advertis
764,advertisement,6,0,0,advertis
765,advertisements,7,0,0,advertis
766,advertising,2,0,0,advertis
767,advice,133,0,0,advic
768,advisability,2,0,0,advis
769,advisable,23,0,0,advis
770,advise,49,0,0,advis
771,advised,32,0,0,advis
772,adviser,6,0,0,advis
773,advisers,1,0,0,advis
774,advises,2,0,0,advis
775,advising,8,0,0,advis
776,advocate,11,0,0,advoc
777,advocated,1,0,0,advoc
778,advocates,2,0,0,advoc
779,ady,7,0,0,adi
780,adys,1,0,0,adi
781,adyta,2,0,0,adyta
782,adzooks,1,0,0,adzook
783,aegean,1,0,0,aegean
784,aeneas,2,0,0,aenea
785,aeneid,2,0,0,aeneid
786,aeolian,1,0,0,aeolian
787,aeorai,1,0,0,aeorai
788,aerated,1,0,0,aerat
789,aerial,15,0,0,aerial
790,aeronauts,1,0,0,aeronaut
791,aesculapius,1,0,0,aesculapiu
792,aesthetically,1,0,0,aesthet
793,aesthetics,1,0,0,aesthet
794,afar,31,0,0,afar
795,afeard,3,0,0,afeard
796,affability,12,0,0,affabl
797,affable,13,0,0,affabl
798,affably,2,0,0,affabl
799,affair,152,0,0,affair
800,affairs,114,0,0,affair
801,affect,39,0,0,affect
802,affectation,14,0,0,affect
803,affectations,2,0,0,affect
804,affected,118,0,0,affect
805,affectedly,8,0,0,affectedli
806,affecting,26,0,0,affect
807,affection,340,0,0,affect
808,affectionate,129,0,0,affection
809,affectionately,30,0,0,affection
810,affections,62,0,0,affect
811,affects,5,0,0,affect
812,affghanistan,1,0,0,affghanistan
813,affianced,7,0,0,affianc
814,affiancement,1,0,0,affianc
815,affidavit,4,0,0,affidavit
816,affidavits,4,0,0,affidavit
817,affinities,2,0,0,affin
818,affinity,7,0,0,affin
819,affirm,18,0,0,affirm
820,affirmations,1,0,0,affirm
821,affirmative,10,0,0,affirm
822,affirmatively,1,0,0,affirm
823,affirmed,10,0,0,affirm
824,affirming,8,0,0,affirm
825,affirms,4,0,0,affirm
826,affix,1,0,0,affix
827,affixed,5,0,0,affix
828,affixing,1,0,0,affix
829,afflatus,1,0,0,afflatu
830,afflict,3,0,0,afflict
831,afflicted,28,0,0,afflict
832,afflicting,2,0,0,afflict
833,affliction,43,0,0,afflict
834,afflictions,8,0,0,afflict
835,afflictive,2,0,0,afflict
836,affluence,12,0,0,affluenc
837,affluent,7,0,0,affluent
838,afford,87,0,0,afford
839,afforded,68,0,0,afford
840,affording,28,0,0,afford
841,affords,10,0,0,afford
842,affray,2,0,0,affray
843,affright,11,0,0,affright
844,affrighted,15,0,0,affright
845,affrights,3,0,0,affright
846,affront,20,0,0,affront
847,affronted,9,0,0,affront
848,affronting,5,0,0,affront
849,affronts,8,0,0,affront
850,afire,2,0,0,afir
851,afloat,52,0,0,afloat
852,afoam,1,0,0,afoam
853,afoot,1,0,0,afoot
854,afore,16,0,0,afor
855,aforesaid,18,0,0,aforesaid
856,aforethought,3,0,0,aforethought
857,afoul,1,0,0,afoul
858,afraid,276,0,0,afraid
859,afrehitoo,6,0,0,afrehitoo
860,afresh,14,0,0,afresh
861,afric,2,0,0,afric
862,africa,17,0,0,africa
863,african,16,0,0,african
864,africans,2,0,0,african
865,afriky,1,0,0,afriki
866,aft,89,0,0,aft
867,after,2935,0,1,after
868,afterbirth,1,0,0,afterbirth
869,afterguard,1,0,0,afterguard
870,afternoon,133,0,0,afternoon
871,afternoons,8,0,0,afternoon
872,afterpiece,2,0,0,afterpiec
873,afterward,74,0,0,afterward
874,afterwards,307,0,0,afterward
875,again,2416,0,1,again
876,againbut,1,0,0,againbut
877,againe,1,0,0,again
878,against,1108,0,1,against
879,againsts,1,0,0,against
880,agamemnon,1,0,0,agamemnon
881,agape,2,0,0,agap
882,agassiz,1,0,0,agassiz
883,agate,1,0,0,agat
884,agatha,18,0,0,agatha
885,agathas,2,0,0,agatha
886,age,311,0,0,age
887,aged,48,0,0,age
888,agencies,7,0,0,agenc
889,agency,15,0,0,agenc
890,agent,37,0,0,agent
891,agents,12,0,0,agent
892,ages,83,0,0,age
893,agglomerating,1,0,0,agglomer
894,aggrandise,1,0,0,aggrandis
895,aggrandizement,2,0,0,aggrandiz
896,aggravate,2,0,0,aggrav
897,aggravated,8,0,0,aggrav
898,aggravates,1,0,0,aggrav
899,aggravating,2,0,0,aggrav
